metric,baseline,e2e_vitb_518,e2e_vits,delta_e2e_vitb_518_minus_baseline,delta_e2e_vits_minus_baseline
num_nodes,3816.0,4337.0,4563.0,521.0,747.0
num_edges,17170.0,13444.0,14593.0,-3726.0,-2577.0
num_free,3693.0,4337.0,4563.0,644.0,870.0
num_frontier,123.0,0.0,0.0,-123.0,-123.0
frame_count,2363.0,2002.0,1991.0,-361.0,-372.0
bbox_x,73.09968566894531,66.47938537597656,67.40604400634766,-6.62030029296875,-5.693641662597656
bbox_y,146.59994506835938,149.04815673828125,148.06491088867188,2.448211669921875,1.4649658203125
bbox_z,7.959277153015137,8.3466215133667,8.389425277709961,0.3873443603515625,0.4301481246948242
xy_area_m2,10716.41015625,9908.6298828125,9980.4697265625,-807.7802734375,-735.9404296875
covered_area_m2,1988.5,1583.25,1763.5,-405.25,-225.0
xy_density_per_m2,1.9190344480764396,2.7393020685299225,2.587468103203856,0.8202676204534829,0.6684336551274164
z_mean,-2.069591760635376,-2.2025201320648193,-2.304957151412964,-0.13292837142944336,-0.2353653907775879
z_std,2.3763437271118164,2.560328722000122,2.5499818325042725,0.18398499488830566,0.17363810539245605
mean_nn_distance_m,0.6576601004386442,0.5683188334827213,0.5721642145247519,-0.08934126695592293,-0.08549588591389234
median_nn_distance_m,0.6327285551385897,0.5434675608937694,0.5479814403331907,-0.08926099424482037,-0.08474711480539898
avg_degree,8.99895178197065,6.199677196218584,6.396230550076704,-2.799274585752066,-2.6027212318939457
mean_edge_len_m,1.1072616577148438,1.3872342109680176,1.3539493083953857,0.27997255325317383,0.246687650680542
max_edge_len_m,2.9972317218780518,2.975879192352295,2.9793550968170166,-0.021352529525756836,-0.017876625061035156
num_cc,107.0,242.0,191.0,135.0,84.0
largest_cc_size,3661.0,3603.0,4357.0,-58.0,696.0
largest_cc_frac,0.9593815513626834,0.8307585888863269,0.9548542625465702,-0.12862296247635652,-0.004527288816113195
nodes_in_free,2921.0,3442.0,3388.0,521.0,467.0
nodes_in_free_pct,76.5461215932914,79.36361540235185,74.2493973263204,2.8174938090604513,-2.2967242669709975
nodes_in_occ,685.0,568.0,649.0,-117.0,-36.0
nodes_in_occ_pct,17.950733752620547,13.096610560295135,14.223098838483454,-4.854123192325412,-3.7276349141370932
edges_mid_in_free,14778.0,11758.0,11979.0,-3020.0,-2799.0
edges_mid_in_free_pct,86.06872451951078,87.45908955667956,82.08730213115878,1.3903650371687775,-3.9814223883520015
edges_mid_in_occ,1724.0,1095.0,1498.0,-629.0,-226.0
edges_mid_in_occ_pct,10.04076878276063,8.144897351978578,10.265195641746043,-1.8958714307820514,0.2244268589854137
free_area_coverage_pct,96.73176955540289,84.09657473746196,88.36915627964798,-12.635194817940928,-8.36261327575491
planning_success_rate,0.975,0.725,0.92,-0.25,-0.05499999999999994
planning_mean_path_length_m,74.37338170882983,98.79829139709473,123.3712330656531,24.424909688264904,48.997851356823276
planning_median_path_length_m,68.83493620157242,93.2596121430397,108.75496524572372,24.424675941467285,39.920029044151306
planning_mean_snap_distance_m,0.2318506590444592,0.24262130435711227,0.21878940171532102,0.010770645312653065,-0.013061257329138182
planning_n_pairs,200.0,200.0,200.0,0.0,0.0
planning_mean_path_length_common_m,59.61326505924974,100.37402035125665,102.63046980053187,40.760755292006905,43.01720474128213
planning_n_common_success_pairs,140.0,140.0,140.0,0.0,0.0
mean_t_parse_ms,2.4460140158123225,nan,nan,nan,nan
mean_t_emap_ms,3.021751155177798,nan,nan,nan,nan
mean_t_local_ms,6.405959511355371,nan,nan,nan,nan
mean_t_merge_ms,2.7589534386667345,0.7723375670935901,0.7000543647779467,-1.9866158715731443,-2.058899073888788
mean_t_other_ms,7.097647381899744,0.7445716538248084,0.7131374004432322,-6.353075728074936,-6.384509981456512
mean_t_graph_total_ms,16.262560331921847,nan,nan,nan,nan
mean_t_frame_total_ms,22.323559242657232,25.392398379500666,14.256542747371194,3.068839136843433,-8.067016495286039
